=== clinical n=100 on GPU 0 ===

============================================================
Dataset: clinical, N_real: 100, GPUs: [0]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[0], cpu_jobs=6

[1/4] Loading dataset...
  Loaded clinical: 48790 samples, 14 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [282/300] split=9    smote +   tabpfn -> 70.70% (1.3s)
  [283/300] split=9   tabebm +       lr -> 66.95% (0.0s)
  [284/300] split=9   tabebm +      knn -> 65.61% (0.0s)
  [285/300] split=9   tabebm +      mlp -> 67.79% (1.0s)
  [286/300] split=9   tabebm +       rf -> 67.28% (0.2s)
  [287/300] split=9   tabebm +  xgboost -> 68.86% (0.1s)
  [288/300] split=9   tabebm +   tabpfn -> 69.39% (0.7s)
  [289/300] split=9     tvae +       lr -> 67.61% (0.1s)
  [290/300] split=9     tvae +      knn -> 64.87% (0.1s)
  [291/300] split=9     tvae +      mlp -> 65.24% (4.1s)
  [292/300] split=9     tvae +       rf -> 67.81% (0.3s)
  [293/300] split=9     tvae +  xgboost -> 71.23% (0.1s)
  [294/300] split=9     tvae +   tabpfn -> 72.85% (1.1s)
  [295/300] split=9    ctgan +       lr -> 66.78% (0.0s)
  [296/300] split=9    ctgan +      knn -> 66.36% (0.0s)
  [297/300] split=9    ctgan +      mlp -> 67.85% (0.3s)
  [298/300] split=9    ctgan +       rf -> 64.56% (0.2s)
  [299/300] split=9    ctgan +  xgboost -> 65.09% (0.1s)
  [300/300] split=9    ctgan +   tabpfn -> 72.50% (0.8s)

[4/4] Saving results...
  Results: experiments/results/full_v3/clinical_n100.csv

============================================================
SUMMARY
============================================================
             mean                                       std                                 
classifier    knn     lr    mlp     rf tabpfn xgboost   knn    lr   mlp    rf tabpfn xgboost
method                                                                                      
baseline    67.17  67.72  67.75  68.80  70.76   67.52  3.80  3.17  3.59  3.25   3.19    4.15
ctgan       67.17  67.72  68.71  68.65  70.76   67.52  3.80  3.17  4.52  4.14   3.19    4.15
smote       67.14  68.71  67.61  69.32  70.42   69.08  3.68  3.87  4.46  4.74   4.43    4.41
tabebm      67.14  70.53  68.19  70.54  67.13   69.76  2.85  2.89  3.71  4.52   3.73    3.57
tvae        70.56  70.59  69.65  70.99  71.38   71.35  4.16  3.67  4.08  3.75   4.14    4.24

  Done in 11.9 min
[DONE] clinical
