=== auction n=100 on GPU 3 ===

============================================================
Dataset: auction, N_real: 100, GPUs: [3]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[3], cpu_jobs=6

[1/4] Loading dataset...
  Loaded auction: 1470 samples, 34 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  Results: experiments/results/full_v3/auction_n100.csv

============================================================
SUMMARY
============================================================
             mean                                       std                                 
classifier    knn     lr    mlp     rf tabpfn xgboost   knn    lr   mlp    rf tabpfn xgboost
method                                                                                      
baseline    52.07  60.82  58.51  52.38  54.86   58.44  1.51  3.80  3.88  2.21   4.99    2.76
ctgan       52.07  60.82  58.23  51.95  54.86   58.44  1.51  3.80  3.87  1.91   4.99    2.76
smote       56.53  61.75  60.35  56.15  61.71   58.52  3.10  5.22  3.85  3.97   4.73    3.49
tabebm      55.89  63.81  61.19  55.55  52.59   59.32  3.89  5.46  4.66  3.56   2.28    3.44
tvae        61.39  62.53  61.74  56.52  58.87   60.90  4.76  4.10  3.38  3.80   4.87    4.06

  Done in 12.1 min
[DONE] auction
