=== support2 n=100 on GPU 1 ===

============================================================
Dataset: support2, N_real: 100, GPUs: [1]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[1], cpu_jobs=6

[1/4] Loading dataset...
  Loaded support2: 1470 samples, 33 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [279/300] split=9    smote +      mlp -> 66.23% (0.7s)
  [280/300] split=9    smote +       rf -> 99.35% (0.2s)
  [281/300] split=9    smote +  xgboost -> 100.00% (0.1s)
  [282/300] split=9    smote +   tabpfn -> 93.39% (0.9s)
  [283/300] split=9   tabebm +       lr -> 87.36% (0.2s)
  [284/300] split=9   tabebm +      knn -> 61.98% (0.2s)
  [285/300] split=9   tabebm +      mlp -> 65.93% (0.8s)
  [286/300] split=9   tabebm +       rf -> 98.05% (0.3s)
  [287/300] split=9   tabebm +  xgboost -> 98.94% (0.1s)
  [288/300] split=9   tabebm +   tabpfn -> 77.04% (0.7s)
  [289/300] split=9     tvae +       lr -> 83.47% (0.1s)
  [290/300] split=9     tvae +      knn -> 69.18% (0.1s)
  [291/300] split=9     tvae +      mlp -> 64.99% (0.2s)
  [292/300] split=9     tvae +       rf -> 94.81% (0.2s)
  [293/300] split=9     tvae +  xgboost -> 92.97% (0.1s)
  [294/300] split=9     tvae +   tabpfn -> 87.01% (0.6s)
  [295/300] split=9    ctgan +       lr -> 83.53% (0.0s)
  [296/300] split=9    ctgan +      knn -> 54.84% (0.1s)
  [297/300] split=9    ctgan +      mlp -> 62.57% (0.1s)
  [298/300] split=9    ctgan +       rf -> 94.16% (0.1s)
  [299/300] split=9    ctgan +  xgboost -> 100.00% (0.1s)
  [300/300] split=9    ctgan +   tabpfn -> 100.00% (0.7s)

[4/4] Saving results...
  Results: experiments/results/full_v3/support2_n100.csv

============================================================
SUMMARY
============================================================
             mean                                        std                                  
classifier    knn     lr    mlp     rf  tabpfn xgboost   knn    lr   mlp     rf tabpfn xgboost
method                                                                                        
baseline    55.05  81.56  63.00  87.08  100.00  100.00  2.57  2.76  4.39   7.91   0.00    0.00
ctgan       55.05  81.56  61.96  78.70  100.00  100.00  2.57  2.76  3.18  11.59   0.00    0.00
smote       64.61  84.01  64.75  97.47   92.54  100.00  3.62  3.52  3.80   3.05   5.47    0.00
tabebm      63.72  86.77  67.74  92.47   74.66   99.01  2.78  2.48  4.72   5.20   4.63    2.04
tvae        71.26  85.39  71.58  94.53   88.36   99.00  3.76  2.24  3.02   5.23   5.09    2.30

  Done in 12.0 min
[DONE] support2
