=== mushroom n=100 on GPU 2 ===

============================================================
Dataset: mushroom, N_real: 100, GPUs: [2]
Methods: ['baseline', 'smote', 'tabebm', 'tvae', 'ctgan'], Classifiers: ['lr', 'knn', 'mlp', 'rf', 'xgboost', 'tabpfn']
Splits: 10 splits, N_syn: 500, Seed: 42
============================================================

[env] tabpfn=2.1.2, torch=2.11.0+cu130, gpus=[2], cpu_jobs=6

[1/4] Loading dataset...
  Loaded mushroom: 8124 samples, 22 features, 2 classes
[2/4] Preparing splits...
[3/4] Running experiments (10 splits)...
  [224/300] split=7   tabebm +      knn -> 95.13% (0.1s)
  [225/300] split=7   tabebm +      mlp -> 92.96% (0.4s)
  [226/300] split=7   tabebm +       rf -> 95.10% (0.2s)
  [227/300] split=7   tabebm +  xgboost -> 94.89% (0.1s)
  [228/300] split=7   tabebm +   tabpfn -> 95.13% (0.7s)
  [229/300] split=7     tvae +       lr -> 93.28% (0.2s)
  [230/300] split=7     tvae +      knn -> 93.28% (0.1s)
  [231/300] split=7     tvae +      mlp -> 94.48% (0.4s)
  [232/300] split=7     tvae +       rf -> 94.69% (0.2s)
  [233/300] split=7     tvae +  xgboost -> 94.89% (0.2s)
  [234/300] split=7     tvae +   tabpfn -> 95.32% (1.4s)
  [235/300] split=7    ctgan +       lr -> 92.28% (0.0s)
  [236/300] split=7    ctgan +      knn -> 91.68% (0.1s)
  [237/300] split=7    ctgan +      mlp -> 93.89% (1.5s)
  [238/300] split=7    ctgan +       rf -> 94.89% (0.2s)
  [239/300] split=7    ctgan +  xgboost -> 94.51% (0.1s)
  [240/300] split=7    ctgan +   tabpfn -> 95.52% (1.2s)
  [241/300] split=8 baseline +       lr -> 92.14% (0.1s)
  [242/300] split=8 baseline +      knn -> 93.77% (0.1s)
  [243/300] split=8 baseline +      mlp -> 94.01% (0.6s)
  [244/300] split=8 baseline +       rf -> 95.57% (0.2s)
  [245/300] split=8 baseline +  xgboost -> 94.21% (0.1s)
  [246/300] split=8 baseline +   tabpfn -> 98.56% (0.9s)
  [247/300] split=8    smote +       lr -> 92.75% (0.4s)
  [248/300] split=8    smote +      knn -> 96.25% (0.1s)
  [249/300] split=8    smote +      mlp -> 94.60% (0.5s)
  [250/300] split=8    smote +       rf -> 95.57% (0.2s)
  [251/300] split=8    smote +  xgboost -> 90.93% (0.1s)
  [252/300] split=8    smote +   tabpfn -> 96.19% (0.9s)
  [253/300] split=8   tabebm +       lr -> 92.50% (0.2s)
  [254/300] split=8   tabebm +      knn -> 96.25% (0.2s)
  [255/300] split=8   tabebm +      mlp -> 95.18% (0.4s)
  [256/300] split=8   tabebm +       rf -> 95.97% (0.4s)
  [257/300] split=8   tabebm +  xgboost -> 92.48% (0.1s)
  [258/300] split=8   tabebm +   tabpfn -> 97.24% (0.7s)
  [259/300] split=8     tvae +       lr -> 91.19% (0.8s)
  [260/300] split=8     tvae +      knn -> 91.85% (0.4s)
  [261/300] split=8     tvae +      mlp -> 94.01% (2.3s)
  [262/300] split=8     tvae +       rf -> 96.19% (0.3s)
  [263/300] split=8     tvae +  xgboost -> 95.76% (0.5s)
  [264/300] split=8     tvae +   tabpfn -> 98.01% (1.1s)
  [265/300] split=8    ctgan +       lr -> 92.14% (0.1s)
