eval_idx,region,energy_mean,energy_std,energy_range,gar,grad_var
375,far,-2.507324,0.052251,0.128906,0.88958,1e-06
376,far,-2.65918,0.082269,0.197266,0.867119,5e-06
377,far,-2.617676,0.071741,0.181641,0.871454,5e-06
378,far,-2.347656,0.03734,0.099609,0.701073,0.0
379,far,-2.875976,0.099019,0.251953,0.885767,1e-05
380,far,-2.404297,0.048769,0.136719,0.595852,2e-06
381,far,-2.499024,0.01975,0.044922,0.817095,2e-06
382,far,-2.478516,0.080066,0.203125,0.648411,2e-06
383,far,-2.376953,0.0258,0.072266,0.664939,1e-06
384,far,-2.444336,0.062171,0.160156,0.715891,1e-06
385,far,-2.607422,0.033857,0.080078,0.810975,4e-06
386,far,-3.182129,0.114557,0.314453,0.829419,2.5e-05
387,far,-2.802734,0.106127,0.296875,0.783788,1.1e-05
388,far,-2.688965,0.023695,0.064453,0.931013,3e-06
389,far,-2.401367,0.065328,0.171875,0.664007,2e-06
390,far,-2.394531,0.055346,0.132812,0.736924,1e-06
391,far,-2.438476,0.037582,0.103516,0.648747,1e-06
392,far,-2.405274,0.027151,0.068359,0.884916,1e-06
393,far,-2.489258,0.052508,0.125,0.782328,3e-06
394,far,-2.46289,0.056218,0.158203,0.797633,1e-06
395,far,-2.469238,0.057582,0.160156,0.805888,1e-06
396,far,-2.371094,0.060468,0.148438,0.461216,2e-06
397,far,-2.516602,0.031265,0.078125,0.827153,1e-06
398,far,-2.726562,0.099667,0.25,0.550909,7e-06
399,far,-2.424316,0.031322,0.085938,0.108941,3e-06
400,far,-2.55127,0.066526,0.183594,0.9064,2e-06
401,far,-2.547363,0.042193,0.111328,0.836028,3e-06
402,far,-2.404785,0.041693,0.107422,0.494982,1e-06
403,far,-2.602051,0.040604,0.105469,0.895193,5e-06
404,far,-2.460938,0.03974,0.109375,0.618547,2e-06
405,far,-2.436035,0.036445,0.099609,0.840072,1e-06
406,far,-2.409668,0.023615,0.0625,0.856285,1e-06
407,far,-2.492676,0.022242,0.058594,0.862123,1e-06
408,far,-2.362793,0.038728,0.103516,0.408827,1e-06
409,far,-2.455566,0.025629,0.066406,0.723338,2e-06
410,far,-2.412598,0.045163,0.111328,0.559983,1e-06
411,far,-2.379883,0.035601,0.099609,0.385997,1e-06
412,far,-2.508789,0.049459,0.134766,0.769828,2e-06
413,far,-2.393066,0.046801,0.113281,0.838043,1e-06
414,far,-2.410644,0.031383,0.082031,0.66022,1e-06
415,far,-2.54248,0.040439,0.101562,0.724374,3e-06
416,far,-2.50293,0.040134,0.107422,0.70213,5e-06
417,far,-2.494629,0.039194,0.095703,0.890533,1e-06
418,far,-2.532715,0.049321,0.138672,0.86773,3e-06
419,far,-2.492676,0.046165,0.121094,0.848532,1e-06
420,far,-2.47168,0.017605,0.042969,0.953981,0.0
421,far,-2.40625,0.039451,0.085938,0.119144,4e-06
422,far,-2.40625,0.045784,0.113281,0.806368,1e-06
423,far,-2.426758,0.04298,0.119141,0.665123,3e-06
424,far,-2.866699,0.098844,0.261719,0.879176,1.2e-05
425,far,-2.478027,0.069841,0.177734,0.877177,1e-06
426,far,-2.572754,0.069307,0.183594,0.814366,1e-06
427,far,-2.450684,0.039096,0.097656,0.899428,1e-06
428,far,-2.380371,0.057133,0.15625,0.214186,1e-06
429,far,-2.665039,0.027396,0.070312,0.870339,4e-06
430,far,-2.634277,0.078081,0.189453,0.896326,4e-06
431,far,-2.333984,0.039184,0.101562,0.759429,0.0
432,far,-2.388184,0.039845,0.095703,0.65732,1e-06
433,far,-2.353516,0.031584,0.074219,0.439098,0.0
434,far,-2.549316,0.08563,0.201172,0.800544,1e-06
435,far,-2.371094,0.028471,0.0625,0.757553,1e-06
436,far,-2.541016,0.054809,0.146484,0.805098,3e-06
437,far,-2.392578,0.058886,0.144531,0.382419,2e-06
438,far,-2.411133,0.055078,0.142578,0.809949,1e-06
439,far,-2.970215,0.132808,0.333984,0.889193,1.8e-05
440,far,-2.418945,0.050148,0.136719,0.634705,1e-06
441,far,-2.519531,0.066936,0.179688,0.850045,2e-06
442,far,-2.404297,0.050499,0.115234,0.143254,2e-06
443,far,-2.504394,0.081405,0.210938,0.750669,1e-06
444,far,-2.607422,0.069973,0.166016,0.888329,3e-06
445,far,-2.430664,0.057848,0.162109,0.855434,1e-06
446,far,-2.629394,0.023816,0.058594,0.914215,3e-06
447,far,-2.50293,0.038928,0.091797,0.857278,1e-06
448,far,-2.418945,0.044826,0.105469,0.862083,1e-06
449,far,-2.598633,0.01683,0.041016,0.849299,4e-06
450,far,-2.527832,0.057681,0.148438,0.730901,2e-06
451,far,-2.709473,0.059344,0.166016,0.670937,2e-06
452,far,-2.459473,0.039339,0.101562,0.265685,2e-06
